Entity Type,Medical Device,Regulatory Notes,Context_Multiplier,Estimate Repair Price (USD),Adjusted Estimate Repair Price (USD),Final Estimated Repair Price (USD),Estimate Purchase Price (USD),Annual Maintenance Cost (USD),"Total Cost of Ownership (5 Years, USD)"
Homeopathy clinic,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,630,4425,477.18,8500
Homeopathy clinic,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,570,3900,294.77,6750
Homeopathy clinic,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,660,4650,333.39,8000
Homeopathy clinic,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,660,4700,300.62,7750
Massage therapy center,Anesthesia machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2475,17500,1469.74,31000
Massage therapy center,Operating table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1575,8000,772.47,15750
Massage therapy center,Surgical lights,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1000,5250,493.06,10250
Massage therapy center,Patient monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,720,5250,459.97,9250
Massage therapy center,Infusion pumps,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2400,16500,1051.58,27750
Massage therapy center,Electrosurgical unit (ESU),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1075,5500,540.47,11000
Massage therapy center,Suction regulator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,240,1650,173.66,3125
Massage therapy center,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1550,7750,631.5,14750
Massage therapy center,Washer-disinfector,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1500,9250,891.81,17500
Massage therapy center,Endoscopy tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2850,27000,1796.5,43000
Massage therapy center,Insufflator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,980,10250,675.46,16000
Massage therapy center,C-arm fluoroscopy (orthopedics),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,8000,76000,7816.48,135000
Massage therapy center,Tourniquet system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2325,16500,1063.64,27750
Massage therapy center,MRI scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,20000,491000,51869.45,800500
Massage therapy center,CT scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,10500,189000,19739.18,314000
Massage therapy center,Digital X-ray,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,3850,36750,3394.55,63500
Massage therapy center,Mammography system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,5250,66000,7226.74,115500
Massage therapy center,Ultrasound,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1325,11000,843.37,18500
Massage therapy center,DEXA (bone densitometer),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2350,16750,1215.7,28750
Massage therapy center,PACS workstation,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1375,9750,738.82,17000
Massage therapy center,TENS/EMS unit,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,16500,1137.07,28250
Massage therapy center,Ultrasound therapy unit,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1350,11250,901.6,19250
Massage therapy center,Tilt table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2325,16000,1025.38,27000
Massage therapy center,Exercise bike,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2375,16500,1240.85,28750
Massage therapy center,Treadmill,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,490,3325,221.87,5750
Massage therapy center,Hydrotherapy equipment,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2375,16250,1034.76,27250
Massage therapy center,Gait trainer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2425,17000,1114.3,28750
Massage therapy center,Treatment table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2375,17000,1113.5,28500
Massage therapy center,Hemodialysis machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2850,35250,2510.35,55000
Massage therapy center,Water purification system (RO),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2875,34500,2525.87,54500
Massage therapy center,Dialyzer reprocessing*,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2800,19250,1289.11,32750
Massage therapy center,Weighing scale,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2350,15750,1040.49,26750
Massage therapy center,Heparin pump,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17250,1228.24,29500
Massage therapy center,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2900,28750,2181.3,47000
Massage therapy center,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2350,15750,1010.41,26750
Massage therapy center,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,630,4500,437.07,8250
Massage therapy center,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,560,3725,276.86,6500
Massage therapy center,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,660,4475,319.38,7750
Massage therapy center,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,660,4525,315.61,7750
Massage therapy center,Gastroscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2850,19500,1419.25,33750
Massage therapy center,Colonoscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2750,18750,1203.36,31750
Massage therapy center,Light source,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1025,10500,736.11,16750
Massage therapy center,ESU,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1050,5000,413.3,9750
Massage therapy center,C-arm,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,7750,79500,7624.19,137000
Yoga therapy studio,TENS/EMS unit,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2400,16250,1172.31,28000
Yoga therapy studio,Ultrasound therapy unit,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1350,10500,869.13,18250
Yoga therapy studio,Tilt table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,16500,1088.3,28000
Yoga therapy studio,Exercise bike,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2425,17250,1281.98,29750
Yoga therapy studio,Treadmill,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,520,3725,274.05,6500
Yoga therapy studio,Hydrotherapy equipment,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17750,1141.28,29500
Yoga therapy studio,Gait trainer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2475,17000,1111.09,28750
Yoga therapy studio,Treatment table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,18000,1235.19,30500
Yoga therapy studio,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2825,29000,1898.17,45500
Yoga therapy studio,Video tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,18500,1259.75,31000
Yoga therapy studio,Suction,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,620,4550,423.25,8250
Yoga therapy studio,Microscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,550,4025,284.82,6750
Yoga therapy studio,Audiometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,680,4575,344.45,8000
Yoga therapy studio,Tympanometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,660,4775,357.1,8250
Mindfulness/MBSR center,Anesthesia machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2425,17500,1273.94,30000
Mindfulness/MBSR center,Operating table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1600,8000,677.54,15500
Mindfulness/MBSR center,Surgical lights,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1000,4825,431.52,9500
Mindfulness/MBSR center,Patient monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,720,5250,397.61,9000
Mindfulness/MBSR center,Infusion pumps,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2600,18500,1422.1,32000
Mindfulness/MBSR center,Electrosurgical unit (ESU),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1050,5000,521.79,10250
Mindfulness/MBSR center,Suction regulator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,250,1800,186.54,3350
Mindfulness/MBSR center,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1625,8500,695.53,16000
Mindfulness/MBSR center,Washer-disinfector,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1500,8750,927.22,17250
Mindfulness/MBSR center,Endoscopy tower,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2875,30250,2029.85,47500
Mindfulness/MBSR center,Insufflator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1000,9500,690.51,15500
Mindfulness/MBSR center,C-arm fluoroscopy (orthopedics),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,7750,78000,7836.85,136500
Mindfulness/MBSR center,Tourniquet system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2450,17250,1311.21,30000
Mindfulness/MBSR center,MRI scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,19750,483500,48709.13,776500
Mindfulness/MBSR center,CT scanner,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,10000,180500,19255.86,302000
Mindfulness/MBSR center,Digital X-ray,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,3875,37000,3438.19,64000
Mindfulness/MBSR center,Mammography system,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,5250,64000,6782.19,111000
Mindfulness/MBSR center,Ultrasound,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1325,11000,952.69,19000
Mindfulness/MBSR center,DEXA (bone densitometer),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,18250,1284.84,31000
Mindfulness/MBSR center,PACS workstation,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1350,9500,669.03,16250
Mindfulness/MBSR center,Hemodialysis machine,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2775,32250,2477.14,51500
Mindfulness/MBSR center,Water purification system (RO),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2750,33500,2210.77,51500
Mindfulness/MBSR center,Dialyzer reprocessing*,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2775,18500,1339.97,32250
Mindfulness/MBSR center,Weighing scale,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2575,17500,1177.66,29750
Mindfulness/MBSR center,Heparin pump,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2600,18000,1329.86,31250
Mindfulness/MBSR center,Endoscope (rigid/flexible),CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2800,29500,2175.43,47500
